epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.02561,0,7.49657,0,0,0,0,0,0,11.3889,0,0.00016,0.00016,0.00016
2,4.07908,0,7.39418,0,0,0,0,0,0,11.3889,0,0.000333268,0.000333268,0.000333268
3,6.14823,0,7.35054,0,0,0,0,0,0,11.4359,0,0.000499408,0.000499408,0.000499408
4,8.04333,0,7.31313,0,0,0,0,0,0,11.4359,0,0.00065842,0.00065842,0.00065842
5,10.0351,0,7.31478,0,0,0,0,0,0,11.4359,0,0.000810304,0.000810304,0.000810304
6,12.069,0,7.31131,0,0,0,0,0,0,11.4359,0,0.00095506,0.00095506,0.00095506
7,14.0013,0,7.23642,0,0,0,0,0,0,11.433,0,0.00109269,0.00109269,0.00109269
8,16.0158,0,7.10886,0,0,0,0,0,0,11.433,0,0.00122319,0.00122319,0.00122319
9,18.0819,0,7.08852,0,0,0,0,0,0,11.433,0,0.00134656,0.00134656,0.00134656
10,19.9362,0,7.09498,0,0,0,0,0,0,11.433,0,0.0014628,0.0014628,0.0014628
11,21.9002,0,7.09461,0,0,0,0,0,0,11.433,0,0.00157192,0.00157192,0.00157192
12,23.9782,0,7.09205,0,0,0,0,0,0,11.433,0,0.0015644,0.0015644,0.0015644
13,25.9718,0,7.0971,0,0,0,0,0,0,11.433,0,0.0015248,0.0015248,0.0015248
14,28.0375,0,7.04063,0,0,0,0,0,0,11.0458,0,0.0014852,0.0014852,0.0014852
15,29.9783,0,6.77502,0,0,0,0,0,0,11.0458,0,0.0014456,0.0014456,0.0014456
16,31.9507,0,6.79027,0,0,0,0,0,0,11.0458,0,0.001406,0.001406,0.001406
17,33.8757,0,6.77217,0,0,0,0,0,0,11.0458,0,0.0013664,0.0013664,0.0013664
18,36.0157,0,6.78197,0,0,0,0,0,0,11.0458,0,0.0013268,0.0013268,0.0013268
19,37.9199,0,6.7718,0,0,0,0,0,0,11.0458,0,0.0012872,0.0012872,0.0012872
20,39.993,0,6.78511,0,0,0,0,0,0,11.0458,0,0.0012476,0.0012476,0.0012476
21,42.1545,0,6.74569,0,0,0,0,0,0,9.97285,0,0.001208,0.001208,0.001208
22,44.2849,0,6.50271,0,0,0,0,0,0,9.97285,0,0.0011684,0.0011684,0.0011684
23,46.4001,0,6.50241,0,0,0,0,0,0,9.97285,0,0.0011288,0.0011288,0.0011288
24,48.516,0,6.50106,0,0,0,0,0,0,9.97285,0,0.0010892,0.0010892,0.0010892
25,50.4888,0,6.51748,0,0,0,0,0,0,9.97285,0,0.0010496,0.0010496,0.0010496
26,52.7328,0,6.50999,0,0,0,0,0,0,9.97285,0,0.00101,0.00101,0.00101
27,54.6205,0,6.50521,0,0,0,0,0,0,9.97285,0,0.0009704,0.0009704,0.0009704
28,56.8167,0,6.50436,0,0,0,0,0,0,9.28786,0,0.0009308,0.0009308,0.0009308
29,58.9657,0,6.28284,0,0,0,0,0,0,9.28786,0,0.0008912,0.0008912,0.0008912
30,61.0063,0,6.28757,0,0,0,0,0,0,9.28786,0,0.0008516,0.0008516,0.0008516
31,63.2058,0,6.28799,0,0,0,0,0,0,9.28786,0,0.000812,0.000812,0.000812
32,65.1458,0,6.30564,0,0,0,0,0,0,9.28786,0,0.0007724,0.0007724,0.0007724
33,67.0887,0,6.2821,0,0,0,0,0,0,9.28786,0,0.0007328,0.0007328,0.0007328
34,69.0372,0,6.27727,0,0,0,0,0,0,9.28786,0,0.0006932,0.0006932,0.0006932
35,70.9636,0,6.26984,0,0,0,0,0,0,9.28786,0,0.0006536,0.0006536,0.0006536
36,73.0141,0,6.12929,0,0,0,0,0,0,9.07144,0,0.000614,0.000614,0.000614
37,75.0132,0,6.12002,0,0,0,0,0,0,9.07144,0,0.0005744,0.0005744,0.0005744
38,76.8781,0,6.115,0,0,0,0,0,0,9.07144,0,0.0005348,0.0005348,0.0005348
39,78.7981,0,6.09899,0,0,0,0,0,0,9.07144,0,0.0004952,0.0004952,0.0004952
40,80.7077,0,6.142,0,0,0,0,0,0,9.07144,0,0.0004556,0.0004556,0.0004556
41,82.5846,0,6.0961,0,0,0,0,0,0,9.07144,0,0.000416,0.000416,0.000416
42,84.4851,0,6.08946,0,0,0,0,0,0,9.07144,0,0.0003764,0.0003764,0.0003764
43,86.5961,0,6.04082,0,0,0,0,0,0,9.12079,0,0.0003368,0.0003368,0.0003368
44,88.5329,0,6.00546,0,0,0,0,0,0,9.12079,0,0.0002972,0.0002972,0.0002972
45,90.4797,0,6.03639,0,0,0,0,0,0,9.12079,0,0.0002576,0.0002576,0.0002576
46,92.4731,0,6.0267,0,0,0,0,0,0,9.12079,0,0.000218,0.000218,0.000218
47,94.4272,0,6.01865,0,0,0,0,0,0,9.12079,0,0.0001784,0.0001784,0.0001784
48,96.3595,0,5.99109,0,0,0,0,0,0,9.12079,0,0.0001388,0.0001388,0.0001388
49,98.2981,0,6.00709,0,0,0,0,0,0,9.12079,0,9.92e-05,9.92e-05,9.92e-05
50,100.196,0,5.99472,0,0,0,0,0,0,9.25819,0,5.96e-05,5.96e-05,5.96e-05
