epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93043,0,7.40309,0,0,0,0,0,0,11.6088,0,0.00056,0.00056,0.00056
2,11.8941,0,7.30773,0,0,0,0,0,0,11.6088,0,0.00111743,0.00111743,0.00111743
3,18.6957,0,7.10483,0,0,0,0,0,0,11.5867,0,0.00165189,0.00165189,0.00165189
4,24.9428,0,7.08927,0,0,0,0,0,0,11.5867,0,0.0018812,0.0018812,0.0018812
5,31.2086,0,6.82574,0,0,0,0,0,0,11.3999,0,0.0018416,0.0018416,0.0018416
6,38.3793,0,6.73094,0,0,0,0,0,0,11.3999,0,0.001802,0.001802,0.001802
7,45.3304,0,6.56152,0,0,0,0,0,0,9.01911,0,0.0017624,0.0017624,0.0017624
8,51.3329,0,6.39846,0,0,0,0,0,0,9.01911,0,0.0017228,0.0017228,0.0017228
9,57.2268,0,6.29098,0,0,0,0,0,0,7.80683,0,0.0016832,0.0016832,0.0016832
10,62.7834,0,6.05215,0,0,0,0,0,0,7.80683,0,0.0016436,0.0016436,0.0016436
11,68.2356,0,6.01675,0,0,0,0,0,0,9.22411,0,0.001604,0.001604,0.001604
12,73.7529,0,5.70268,0,0,0,0,0,0,9.22411,0,0.0015644,0.0015644,0.0015644
13,79.773,0,5.6948,0,0,0,0,0,0,9.22411,0,0.0015248,0.0015248,0.0015248
14,85.8208,0,5.41511,0,0,0,0,0,0,7.38884,0,0.0014852,0.0014852,0.0014852
15,91.5704,0,5.38139,0,0,0,0,0,0,7.38884,0,0.0014456,0.0014456,0.0014456
16,97.8743,0,5.21563,0,0,0,0,0,0,7.03082,0,0.001406,0.001406,0.001406
17,104.399,0,5.12453,0,0,0,0,0,0,7.03082,0,0.0013664,0.0013664,0.0013664
18,111.269,0,5.0353,0,0,0,0,0,0,6.62881,0,0.0013268,0.0013268,0.0013268
19,117.886,0,4.9359,0,0,0,0,0,0,6.62881,0,0.0012872,0.0012872,0.0012872
20,123.681,0,4.87899,0,0,0,0,0,0,7.00491,0,0.0012476,0.0012476,0.0012476
21,130.28,0,4.74215,0,0,0,0,0,0,7.00491,0,0.001208,0.001208,0.001208
22,138.23,0,4.73454,0,0,0,0,0,0,6.48834,0,0.0011684,0.0011684,0.0011684
23,145.434,0,4.59971,0,0,0,0,0,0,6.48834,0,0.0011288,0.0011288,0.0011288
24,151.623,0,4.60027,0,0,0,0,0,0,6.48834,0,0.0010892,0.0010892,0.0010892
25,157.514,0,4.5018,0,0,0,0,0,0,6.4002,0,0.0010496,0.0010496,0.0010496
26,163.311,0,4.4799,0,0,0,0,0,0,6.4002,0,0.00101,0.00101,0.00101
27,169.375,0,4.41607,0,0,0,0,0,0,6.35556,0,0.0009704,0.0009704,0.0009704
28,175.668,0,4.36671,0,0,0,0,0,0,6.35556,0,0.0009308,0.0009308,0.0009308
29,181.995,0,4.33785,0,0,0,0,0,0,6.38611,0,0.0008912,0.0008912,0.0008912
30,189.159,0,4.2961,0,0,0,0,0,0,6.38611,0,0.0008516,0.0008516,0.0008516
31,196.531,0,4.26684,0,0,0,0,0,0,6.36554,0,0.000812,0.000812,0.000812
32,203.503,0,4.21107,0,0,0,0,0,0,6.36554,0,0.0007724,0.0007724,0.0007724
33,210.696,0,4.20203,0,0,0,0,0,0,6.33102,0,0.0007328,0.0007328,0.0007328
34,217.716,0,4.14246,0,0,0,0,0,0,6.33102,0,0.0006932,0.0006932,0.0006932
35,224.753,0,4.15563,0,0,0,0,0,0,6.33102,0,0.0006536,0.0006536,0.0006536
36,231.78,0,4.10305,0,0,0,0,0,0,6.20143,0,0.000614,0.000614,0.000614
37,238.576,0,4.09162,0,0,0,0,0,0,6.20143,0,0.0005744,0.0005744,0.0005744
38,245.48,0,4.06334,0,0,0,0,0,0,6.16566,0,0.0005348,0.0005348,0.0005348
39,252.585,0,4.03816,0,0,0,0,0,0,6.16566,0,0.0004952,0.0004952,0.0004952
40,259.585,0,4.03017,0,0,0,0,0,0,6.11747,0,0.0004556,0.0004556,0.0004556
41,265.899,0,3.99637,0,0,0,0,0,0,6.11747,0,0.000416,0.000416,0.000416
42,272.558,0,3.986,0,0,0,0,0,0,6.09807,0,0.0003764,0.0003764,0.0003764
43,279.321,0,3.96369,0,0,0,0,0,0,6.09807,0,0.0003368,0.0003368,0.0003368
44,286.012,0,3.96725,0,0,0,0,0,0,6.05002,0,0.0002972,0.0002972,0.0002972
45,292.966,0,3.93663,0,0,0,0,0,0,6.05002,0,0.0002576,0.0002576,0.0002576
46,299.885,0,3.9366,0,0,0,0,0,0,6.05002,0,0.000218,0.000218,0.000218
47,306.525,0,3.92824,0,0,0,0,0,0,6.06101,0,0.0001784,0.0001784,0.0001784
48,312.994,0,3.92161,0,0,0,0,0,0,6.06101,0,0.0001388,0.0001388,0.0001388
49,319.052,0,3.91174,0,0,0,0,0,0,6.05306,0,9.92e-05,9.92e-05,9.92e-05
50,324.916,0,3.90899,0,0,0,0,0,0,6.05306,0,5.96e-05,5.96e-05,5.96e-05
